category,product_name,active_ingredients,strength,form,package,pharmacy,sku,wholesale_cost,retail_price,rx_required,tags,notes
Sexual Wellness,SildenafilCitrate,,125mg,troche,,V Pharm,SIL-CIT-125-TRO-VS,1.38,,yes,,
Sexual Wellness,Sildenafil/TadalafilSL,,120mg/22mg,troche,,V Pharm,SIL-TAD-120-22-TRO-VS,1.88,,yes,,
Hair Restoration,Spironolactone,,10mg,capsule,,V Pharm,SPIROL-10-VS,0.75,,yes,review,androgenetic alopecia use; also prescribed for acne; form inferred
Hair Restoration,Spironolactone,,55mg,capsule,,V Pharm,SPIROL-55-VS,0.75,,yes,review,androgenetic alopecia use; also prescribed for acne; form inferred
Hair Restoration,Spironolactone,,75mg,capsule,,V Pharm,SPIROL-75-VS,0.75,,yes,review,androgenetic alopecia use; also prescribed for acne; form inferred
Hair Restoration,Spironolactone,,115mg,capsule,,V Pharm,SPIROL-115-VS,1,,yes,review,androgenetic alopecia use; also prescribed for acne; form inferred
Sexual Wellness,Tadalafil,,5.5mg,capsule,,V Pharm,TAD5.5-CAP-VS,0.5,,yes,,
Sexual Wellness,Tadalafil,,25mg,capsule,,V Pharm,TAD25-CAP-VS,1,,yes,,
Hormone Therapy,Testosterone,,0.5mg,troche,,V Pharm,TEST-0.5-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,1mg,troche,,V Pharm,TEST-1-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,1.5mg,troche,,V Pharm,TEST-1.5-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,2mg,troche,,V Pharm,TEST-2-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,2.5mg,troche,,V Pharm,TEST-2.5-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,3mg,troche,,V Pharm,TEST-3-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,3.5mg,troche,,V Pharm,TEST-3.5-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,4mg,troche,,V Pharm,TEST-4-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,4.5mg,troche,,V Pharm,TEST-4.5-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,5mg,troche,,V Pharm,TEST-5-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,5.5mg,troche,,V Pharm,TEST-5.5-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,6mg,troche,,V Pharm,TEST-6-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,6.5mg,troche,,V Pharm,TEST-6.5-TRO-VS,0.88,,yes,men's-sexual-health,
